# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
0.872867,26,2.10558
6e-06,25,2.150141
6.7e-05,35,2.210629
8e-06,33,2.268774
0.000341,39,2.339075
5e-06,40,2.420493
1.5e-05,32,2.484856
0.000102,32,3.351614
0.000157,39,3.431757
2.3e-05,33,3.499188
0.000102,25,3.542576
0.0,37,3.612764
0.000474,38,3.679257
8e-06,30,3.731551
9.6e-05,34,3.79548
0.000193,29,3.961257
0.000113,28,4.026593
5e-06,27,4.069916
3.8e-05,33,4.12617
1e-06,31,4.21362
0.00031,30,4.275187
1e-06,30,4.34469
1e-06,30,4.40789
1e-06,42,4.589313
0.000207,26,4.63659
0.000166,29,4.686147
1.4e-05,41,4.758183
1.4e-05,29,4.803854
4.4e-05,32,4.851259
1e-06,21,4.88439
0.000125,39,4.951338
3.1e-05,27,5.001136
1e-06,50,5.182501
0.000117,32,5.233193
0.000161,26,5.279813
3e-05,49,5.364539
0.000274,43,5.443561
0.0,23,5.484958
1e-06,25,5.5297
0.000587,34,5.673458
1e-06,51,5.758527
2.2e-05,21,5.797222
4.9e-05,30,5.854147
2e-06,28,5.915228
0.000378,36,5.979193
9e-06,39,6.036477
0.0,29,6.166313
4e-06,25,6.204163
7.4e-05,27,6.247673
1e-06,31,6.296552
0.000259,28,6.336862
1e-06,43,6.405109
7e-06,40,6.474293
1e-06,22,6.514776
3.1e-05,35,6.577991
1e-06,35,6.723613
1e-05,25,6.766524
0.000322,33,6.823146
0.00023,35,6.87622
2e-06,41,6.934361
0.000202,35,6.988424
1e-06,32,7.038702
1.2e-05,28,7.157813
0.000371,35,7.21523
1e-06,28,7.265712
0.000248,26,7.312868
0.000301,27,7.360786
3.4e-05,40,7.429576
0.0,39,7.498095
3.7e-05,27,7.549104
0.000114,39,7.719849
2.5e-05,26,7.764433
0.000128,31,7.819613
7e-06,28,7.868142
1.3e-05,34,7.926017
8e-05,36,7.989864
0.000157,49,8.072583
0.0,25,8.119277
0.000222,37,8.258445
1e-06,44,8.324278
6.3e-05,26,8.380311
0.0,32,8.443789
0.000191,39,8.503938
0.0,32,8.561007
0.000294,51,8.646981
0.0,39,8.785034
0.0,39,8.840675
1e-06,25,8.880743
0.000449,41,8.945358
4.3e-05,27,8.991153
7.9e-05,28,9.040645
0.0,26,9.084818
5e-05,26,9.128706
0.000206,35,9.279416
1e-06,24,9.319438
0.000274,28,9.368477
0.000278,27,9.41575
0.000177,51,9.503711
0.000294,28,9.548985
8.1e-05,39,9.6075
2.2e-05,27,9.64796
1e-06,29,9.774952
1e-06,26,9.816823
0.000174,25,9.852932
2.8e-05,26,9.891652
3e-06,28,9.934422
1.8e-05,32,9.983257
1e-06,33,10.03691
1e-06,36,10.087763
0.000105,30,10.133286
2.7e-05,33,10.27253
8e-06,31,10.326075
4.5e-05,37,10.378767
1e-06,30,10.430836
1e-06,30,10.486761
1e-06,32,10.589526
3.1e-05,32,10.65362
3e-06,31,10.713433
2e-06,65,10.9186
0.000314,38,10.986853
3e-06,29,11.029503
0.000284,43,11.096658
0.00112,38,11.156562
1e-06,24,11.191267
0.0,24,11.228591
4.8e-05,29,11.364475
1e-06,57,11.447973
0.000149,31,11.496491
4.6e-05,33,11.553158
1.2e-05,32,11.603086
1e-06,43,11.674908
1e-06,29,11.726162
1e-06,40,11.871002
0.000265,25,11.916157
2.2e-05,37,11.976558
0.000179,25,12.01564
0.0,40,12.076321
0.000145,34,12.136101
1.5e-05,27,12.180461
0.0,29,12.231629
2e-06,39,12.403181
0.00012,53,12.48849
0.000177,43,12.566788
0.000227,25,12.606143
6.1e-05,26,12.646293
9.8e-05,38,12.714064
0.000212,29,12.758835
3.5e-05,44,12.913513
1e-06,31,12.969886
0.000265,36,13.034779
0.000137,33,13.092119
0.000112,35,13.153923
0.000123,38,13.215068
3.4e-05,42,13.275076
3e-05,42,13.435243
5e-05,30,13.496821
0.0001,30,13.556998
5e-06,45,13.62967
0.000486,23,13.665532
6e-06,30,13.712054
0.0,34,13.777452
