EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,EpLenMean,TimeElapsed,TimestepsSoFar,meankl,optimgain,EpRewMean,entloss,entropy
8,-8.509293,0.25996858,8,29.75,3.1291987895965576,238,0.008677896,0.25996858,8.269597335130722e-05,0.0,39.676968
7,-4.693377,0.2603917,15,31.8,4.725034952163696,477,0.007933404,0.2603917,0.00011392891136289648,0.0,39.627842
8,-2.662029,0.28127885,23,31.608695652173914,6.252919435501099,727,0.008477716,0.28127885,0.0001179724630920299,0.0,39.65198
8,-3.5927334,0.27586865,31,31.548387096774192,7.809515714645386,978,0.008123663,0.27586865,0.0001076074906021406,0.0,39.61702
8,-6.3538847,0.28762633,39,31.641025641025642,9.374864339828491,1234,0.007775995,0.28762633,8.852699942713999e-05,0.0,39.579975
8,-12.124463,0.3005904,47,32.075,10.894405126571655,1491,0.009003442,0.3005904,8.548981261892764e-05,0.0,39.58182
7,-13.95254,0.30296218,54,32.175,12.477428436279297,1725,0.0072758286,0.30296218,7.6450960125144e-05,0.0,39.597855
7,-8.570267,0.25484705,61,32.875,14.11867904663086,1976,0.0077580926,0.25484705,6.510315260114323e-05,0.0,39.60815
7,-8.069049,0.29901052,68,33.05,15.606723546981812,2220,0.008204237,0.29901052,6.756183088944111e-05,0.0,39.60345
7,-7.414158,0.23732696,75,34.6,17.130573272705078,2493,0.008093521,0.23732696,9.586187810888284e-05,0.0,39.59001
8,-4.007376,0.28124112,83,34.425,18.59024167060852,2738,0.008225086,0.28124112,9.814811673720336e-05,0.0,39.573368
7,-1.4207718,0.25597975,90,35.725,19.9847309589386,3022,0.007583269,0.25597975,0.0001070032391956363,0.0,39.577206
9,-5.890316,0.27916747,99,34.625,21.357632637023926,3283,0.009147867,0.27916747,0.000109056421209757,0.0,39.598637
7,-4.4339776,0.30807287,106,34.1,22.767147541046143,3526,0.008811435,0.30807287,9.665602777970107e-05,0.0,39.643894
8,-9.975643,0.28246742,114,33.7,24.18736433982849,3786,0.008111985,0.28246742,8.412564676164093e-05,0.0,39.68546
8,-3.3755407,0.29154447,122,33.05,25.625668048858643,4034,0.008157967,0.29154447,7.324588837643754e-05,0.0,39.669987
6,-3.654851,0.3002044,128,33.375,27.07084608078003,4281,0.008450306,0.3002044,7.041581521170968e-05,0.0,39.682056
8,-8.787345,0.2602673,136,33.9,28.471489667892456,4542,0.007959299,0.2602673,8.32682425353567e-05,0.0,39.658783
7,-4.552708,0.28646788,143,35.65,29.89930820465088,4823,0.00841502,0.28646788,0.00010383228308238882,0.0,39.634884
6,-7.7466736,0.28222227,149,36.325,31.42222285270691,5079,0.007972483,0.28222227,0.00010638826675614457,0.0,39.653103
8,-12.272564,0.31855115,157,36.55,32.85354018211365,5338,0.008602256,0.31855115,0.00011005771375325452,0.0,39.658657
7,-3.7938886,0.24701065,164,37.1,34.286343812942505,5593,0.008059017,0.24701065,0.00012733979183399935,0.0,39.686172
7,-5.510856,0.36295503,171,36.7,35.83712553977966,5842,0.008588656,0.36295503,0.0001312073903369325,0.0,39.690876
7,-9.07317,0.27142197,178,36.15,37.235042572021484,6071,0.008557817,0.27142197,0.00010845519196358106,0.0,39.633144
8,-15.12252,0.3759229,186,35.0,38.76651096343994,6327,0.0080893,0.3759229,9.40605466748073e-05,0.0,39.619076
8,-7.834297,0.34475386,194,34.0,40.360538482666016,6599,0.008162977,0.34475386,8.454488255537237e-05,0.0,39.613163
7,-2.0668628,0.35633147,201,33.6,41.77881073951721,6846,0.009521062,0.35633147,7.803378098352449e-05,0.0,39.63135
8,-7.5612564,0.71557367,209,33.625,43.21808314323425,7121,0.007834115,0.71557367,0.00010634600034800003,0.0,39.637295
7,-9.594562,0.26211345,216,34.45,44.744996309280396,7369,0.009019747,0.26211345,9.168403733978124e-05,0.0,39.617603
8,-13.264432,0.30585033,224,34.275,46.247300148010254,7647,0.0083312495,0.30585033,8.649988226888528e-05,0.0,39.587204
7,-7.092067,0.26680976,231,35.1,47.86606216430664,7906,0.008794686,0.26680976,9.052000883961127e-05,0.0,39.559418
8,-12.1310835,0.411766,239,34.175,49.49052882194519,8149,0.009932605,0.411766,8.906902794167092e-05,0.0,39.60528
8,-4.7549815,0.30342346,247,34.3,51.21949791908264,8411,0.008754862,0.30342346,5.9484031271448994e-05,0.0,39.58282
7,-3.6513371,0.27993184,254,33.95,52.84099507331848,8670,0.008268716,0.27993184,5.779001815339975e-05,0.0,39.52808
7,-7.2410383,0.33806455,261,34.1,54.314918994903564,8897,0.00859927,0.33806455,8.779039449472074e-05,0.0,39.5047
7,-10.950849,0.31718346,268,34.125,55.72891592979431,9169,0.008044248,0.31718346,0.00011446586031064851,0.0,39.489136
7,-6.434183,0.29885173,275,34.425,57.18805646896362,9414,0.008664668,0.29885173,0.00010940146463406372,0.0,39.465153
7,-5.7783723,0.32022983,282,35.65,58.66698169708252,9676,0.008288961,0.32022983,0.0001275216962408668,0.0,39.44168
7,-8.371823,0.29797965,289,35.775,60.13530254364014,9931,0.008706126,0.29797965,0.00012233679682000095,0.0,39.44388
7,-3.0083432,0.38542008,296,35.7,61.58315587043762,10170,0.008409573,0.38542008,0.0001105506880573889,0.0,39.429657
6,-7.1317186,0.30361366,302,37.25,63.139158725738525,10425,0.008552388,0.30361366,9.60096411800916e-05,0.0,39.460903
7,-0.92218316,0.29598504,309,36.625,64.76029086112976,10670,0.008389645,0.29598504,8.936174808025645e-05,0.0,39.427303
7,-6.9105086,0.28667504,316,36.6,66.16880488395691,10928,0.009029634,0.28667504,8.57082051772836e-05,0.0,39.458027
6,-3.984321,0.3753273,322,37.0,67.63643002510071,11156,0.009742562,0.3753273,9.12228675249058e-05,0.0,39.467773
7,-11.169087,0.35303187,329,37.1,69.07523012161255,11415,0.008499546,0.35303187,0.0001005224542901043,0.0,39.4361
6,-11.766322,0.28414977,335,37.55,70.56637978553772,11646,0.009232745,0.28414977,9.766954002786164e-05,0.0,39.398666
7,-5.8354692,0.4874011,342,37.925,72.02267289161682,11942,0.010564011,0.4874011,9.714319376034769e-05,0.0,39.39877
7,-5.863847,0.36657208,349,38.45,73.60755586624146,12208,0.008861419,0.36657208,0.00010183772852817267,0.0,39.427494
7,-6.546177,1.6261365,356,38.075,75.24347996711731,12451,0.01388211,1.6261365,0.00010665273532727514,0.0,39.417965
7,-7.3223476,1.068886,363,37.775,76.7368516921997,12692,0.012556764,1.068886,9.519157376951063e-05,0.0,39.422703
7,-7.129115,0.40295053,370,36.825,78.36495757102966,12945,0.009480564,0.40295053,9.80913740548878e-05,0.0,39.416042
6,-1.5074632,0.35610503,376,37.425,79.96148324012756,13193,0.009219082,0.35610503,0.0001066757439840109,0.0,39.40982
8,-3.579895,0.3556999,384,35.775,81.65516805648804,13458,0.009526077,0.3556999,0.0001120076100322659,0.0,39.369965
5,-3.901125,0.30127937,389,37.625,83.44689893722534,13713,0.009406947,0.30127937,9.406119628487553e-05,0.0,39.383408
8,-6.979716,0.32488188,397,37.575,85.0253541469574,13987,0.00792969,0.32488188,8.532262768642949e-05,0.0,39.37175
8,-9.481822,0.73771703,405,37.375,86.61375260353088,14252,0.009682272,0.73771703,0.00010192385507883282,0.0,39.362736
